1.21,57,
1.25,57,
1.30,57,
1.55,56,
1.94,56,
2.38,57,
2.75,57,
3.19,57,
3.58,57,
3.95,53,
4.34,49,
4.79,47,
5.14,46,
5.58,46,
5.97,46,
6.34,46,
6.77,47,
7.14,48,
7.58,49,
7.95,50,
8.36,52,
8.75,53,
9.14,54,
9.57,55,
9.94,56,
10.33,58,
10.73,59,
11.12,60,
11.52,58,56,44,
11.96,59,49,44,
12.33,58,50,44,
12.76,57,49,44,
13.15,60,46,44,
13.54,60,43,44,
13.94,61,43,44,
15.14,63,51,44,
15.55,63,52,44,
16.34,62,55,44,
16.74,62,56,44,
17.54,61,61,44,
17.94,58,54,46,
18.35,58,48,49,
19.14,59,52,49,
19.55,57,50,49,
20.74,55,51,47,
21.55,55,50,46,
21.94,55,48,48,
22.35,55,46,50,
22.73,56,46,52,
23.14,57,49,52,
23.93,58,54,48,
24.33,57,56,48,
25.55,59,55,53,
25.94,60,48,
26.73,61,57,59,
27.14,60,55,56,
27.54,59,54,55,
27.95,59,50,53,
28.34,61,51,52,
28.73,60,53,55,
29.13,60,58,58,
29.52,59,55,60,
29.95,58,55,59,
30.34,57,53,57,
31.93,54,59,57,
32.34,55,60,55,
33.12,57,48,60,
33.53,56,48,59,
33.94,57,49,58,
34.32,57,53,57,
34.73,59,53,57,
36.34,57,58,60,
36.72,56,55,
37.14,57,55,
37.89,58,47,
38.31,57,45,
38.72,57,47,
39.52,59,51,57,
39.92,60,56,56,
40.33,60,58,60,
40.71,60,58,58,
41.11,60,55,57,
41.93,61,57,55,
42.71,62,52,55,
43.12,62,55,55,
43.92,64,56,56,
44.32,63,59,55,
45.51,62,56,55,
46.71,62,56,57,
47.11,61,57,57,
47.51,60,56,55,
47.94,59,54,53,
48.30,59,55,50,
48.70,63,56,50,
49.50,63,60,55,
50.31,66,56,57,
50.71,66,58,56,
51.10,66,57,58,
51.52,66,53,57,
51.90,67,55,60,
52.31,67,55,
53.10,66,48,59,
53.51,64,52,57,
54.30,65,61,56,
55.10,63,52,56,
55.91,64,52,62,
56.29,65,54,59,
56.70,67,53,57,
57.11,66,52,57,
57.90,66,52,58,
61.10,70,50,51,
61.88,70,52,49,
62.29,69,51,47,
62.69,67,50,48,
63.50,68,52,49,
64.29,69,56,49,
64.71,68,52,49,
65.09,67,53,53,
66.28,68,51,51,
66.68,68,51,49,
67.09,67,53,48,
67.49,68,53,48,
68.29,67,51,50,
68.69,67,51,51,
69.10,67,53,50,
70.66,68,52,56,
71.49,67,55,51,
73.06,68,52,58,
73.89,68,52,54,
74.68,65,52,50,
75.08,66,57,49,
75.46,66,55,52,
75.87,66,53,54,
76.27,65,50,54,
76.67,66,50,53,
77.86,67,53,52,
78.27,68,53,54,
78.67,68,56,54,
79.08,68,55,52,
80.28,66,52,53,
81.08,67,55,53,
82.68,67,53,60,
83.06,66,55,54,
84.28,69,56,55,
86.67,69,54,55,
87.47,72,55,54,
89.07,73,52,49,
89.46,70,52,45,
91.06,70,54,46,
92.25,69,59,47,
92.66,68,54,48,
93.06,68,50,46,
93.46,68,49,45,
93.85,68,49,44,
94.66,70,46,44,
95.06,71,47,45,
95.48,70,46,48,
95.86,70,46,52,
96.27,69,45,50,
96.65,70,47,49,
97.05,69,48,46,
97.48,71,45,47,
97.86,69,45,47,
98.25,71,45,45,
98.65,70,44,44,
99.05,70,44,42,
99.45,67,47,40,
99.86,66,48,42,
101.04,69,46,47,
102.64,70,47,52,
103.06,69,46,52,
103.42,68,47,51,
104.62,70,51,45,
105.04,69,50,44,
105.44,68,48,47,
105.83,67,47,50,
106.25,67,49,51,
107.44,68,48,44,
108.63,69,49,42,
109.04,69,47,45,
109.42,69,49,47,
110.62,66,48,48,
111.05,65,48,47,
111.84,67,48,42,
112.24,67,45,40,
113.84,68,43,39,
114.25,70,42,43,
114.65,69,41,43,
115.03,69,41,43,
115.83,71,45,43,
116.24,70,45,43,
116.64,71,43,44,
117.43,69,38,47,
118.23,66,39,47,
118.63,67,43,45,
119.44,69,37,47,
119.83,69,35,49,
120.24,68,35,49,
120.62,68,35,50,
121.42,68,35,57,
121.83,70,35,57,
122.23,71,35,57,
122.62,71,35,56,
123.02,68,42,56,
124.23,65,43,60,
125.02,66,43,
125.42,65,43,
125.82,66,45,
126.61,70,42,
127.01,69,43,
127.82,70,44,
128.61,69,41,
129.01,70,42,
129.41,69,43,
129.82,70,39,
132.21,72,40,
132.61,74,40,
